date,open,high,low,close,volume
12/30/2019,66.559998,67.18,65.519997,66.790001,1162700
12/31/2019,66.379997,68.18,66.309998,68.040001,1351400
1/2/2020,68.800003,69.235001,68.019997,68.720001,1315500
1/3/2020,67.620003,68.68,67.099998,67.279999,1127900
1/6/2020,66.629997,70.495003,65.811996,70.32,3151600
1/7/2020,70.290001,72.838997,69.370003,71.900002,6985400
1/8/2020,71.809998,73.290001,71.029999,72.550003,2482300
1/9/2020,73.989998,74,71.349998,72.620003,2772000
1/10/2020,73.080002,73.800003,72.25,73.089996,1655100
1/13/2020,73.889999,75.580002,73.800003,74.029999,3347100
1/14/2020,74.32,75.114998,72.260002,73.160004,1909500
1/15/2020,73.279999,77.779999,73.199997,76.940002,3963500
1/16/2020,78,78.790001,75.110001,76.110001,2998300
1/17/2020,76.660004,76.900002,75.489998,75.559998,1357400
1/21/2020,75.559998,77.120003,74.32,76.730003,1606700
1/22/2020,77.07,77.106003,75.459999,75.540001,1501600
1/23/2020,75.669998,75.970001,74.209999,74.470001,1279000
1/24/2020,74.970001,76.184998,72.375,73,1660200
1/27/2020,71.330002,72.132004,70.32,70.440002,1750700
1/28/2020,71,72.480003,70.260002,71.510002,1598200
1/29/2020,72.510002,74.139999,71.212997,73.580002,1373400
1/30/2020,73.099998,74.800003,72.550003,74.540001,1425400
1/31/2020,74.269997,76.669998,73.300003,76.300003,2521700
2/3/2020,77.690002,88.940002,77.510002,87.660004,13023400
2/4/2020,91.040001,93.300003,83.5,85.790001,10611000
2/5/2020,85.769997,90.970001,83.754997,86.989998,5126800
2/6/2020,87,89.440002,85.260002,87.260002,2410800
2/7/2020,87.230003,90.599998,86.809998,88.639999,2636600
2/10/2020,89.089996,89.980003,86.910004,89.669998,2071600
2/11/2020,90,90.5,87.93,88.68,2731900
2/12/2020,88.660004,89.5,86.519997,88.279999,1671100
2/13/2020,87.610001,91.93,87,89.860001,3406400
2/14/2020,90.879997,91.709999,89.809998,90.949997,2295000
2/18/2020,93.019997,98.139999,92.400002,96.389999,5608200
2/19/2020,100.32,105.080002,99.75,103.93,7793800
2/20/2020,104,110.75,101.43,105.290001,11293200
2/21/2020,104.029999,104.290001,98.089996,101.760002,5519200
2/24/2020,97.800003,110,97.019997,105.010002,12172800
2/25/2020,108.519997,111.800003,104.466003,107.080002,13425900
2/26/2020,109.943001,111.300003,105.599998,106.879997,6867500
2/27/2020,109.43,118,107.599998,113.550003,13511800
2/28/2020,121.07,121.93,97.370003,105,21711000
3/2/2020,109.349998,114.5,102.5,113.110001,10157400
3/3/2020,114.550003,119.199997,112.110001,117.470001,11033700
3/4/2020,118.510002,119.970001,113.110001,116.800003,12102600
3/5/2020,110.25,129.830002,110,125,28149400
3/6/2020,119.650002,122,107,114.32,22975700
3/9/2020,105,116.5,100.879997,113.75,14571300
3/10/2020,113.800003,113.800003,105,108.489998,10244000
3/11/2020,108.410004,113.989998,107,110.300003,12576700
3/12/2020,106.25,113.871002,104.389999,109.470001,12097900
3/13/2020,113,113.800003,104.160004,107.470001,9233500
3/16/2020,105,119.870003,103.199997,107.860001,17210700
3/17/2020,107.330002,113.830002,102,111.099998,18721500
3/18/2020,111,119,108.849998,118.709999,13594300
3/19/2020,122.949997,132.229996,119.099998,123.769997,16248400
3/20/2020,129,135.979996,124,130.550003,13872600
3/23/2020,141.996994,164.940002,137.25,159.559998,27681500
3/24/2020,154,155,133.880005,135.179993,22401300
3/25/2020,140.104996,149,136.199997,138.110001,14743000
3/26/2020,140.509995,146.649994,138.199997,141.149994,9252700
3/27/2020,145.699997,154.970001,145.600006,151.699997,13271900
3/30/2020,160.759995,161.690002,147.199997,150.880005,15762200
3/31/2020,147.020004,149.789993,143.356995,146.119995,10023700
4/1/2020,144.5,144.600006,135.179993,137,11453300
4/2/2020,125.300003,133.488998,114.5,121.93,27313800
4/3/2020,124.300003,128.479996,120.110001,128.199997,12238100
4/6/2020,113.629997,125.175003,108.529999,122.940002,25378900
4/7/2020,118.004997,118.440002,109.570999,113.75,20166200
4/8/2020,115.019997,125.877998,112.5,117.809998,26243300
4/9/2020,117.800003,125.5,114,124.510002,15513000
4/13/2020,127,136.860001,125.603996,135.919998,15411700
4/14/2020,141.070007,145.199997,139.009995,141.889999,11679900
4/15/2020,141.710007,152.570007,140,151.559998,14193300
4/16/2020,149.919998,154.25,146.800003,150.259995,15138200
4/17/2020,147.910004,153.789001,144.029999,150.059998,11328400
4/20/2020,153.300003,155,148.253998,148.990005,11218700
4/21/2020,151.419998,154.75,138.360001,143.270004,9709100
4/22/2020,147.100006,152.279999,145.100006,150.25,6552800
4/23/2020,154.009995,169.75,153.490005,169.089996,22159800
4/24/2020,177.149994,181.5,158.300003,158.800003,44049500
