,date,close
4206496,1/4/20,7333.47
4206497,1/4/20,7331.62
4206498,1/4/20,7342.85
4206499,1/4/20,7334.58
4206500,1/4/20,7337.62
4206501,1/4/20,7332.26
4206502,1/4/20,7312.82
4206503,1/4/20,7316.52
4206504,1/4/20,7318.01
4206505,1/4/20,7320.29
4206506,1/4/20,7320.17
4206507,1/4/20,7317.09
4206508,1/4/20,7310.97
4206509,1/4/20,7322
4206510,1/4/20,7313.05
4206511,1/4/20,7315.81
4206512,1/4/20,7316.12
4206513,1/4/20,7315.45
4206514,1/4/20,7312.62
4206515,1/4/20,7307.23
4206516,1/4/20,7314.26
4206517,1/4/20,7317.16
4206518,1/4/20,7317.16
4206519,1/4/20,7315.43
4206520,1/4/20,7314.92
4206521,1/4/20,7310.88
4206522,1/4/20,7307.23
4206523,1/4/20,7310.53
4206524,1/4/20,7307.72
4206525,1/4/20,7306.2
4206526,1/4/20,7309.78
4206527,1/4/20,7289.09
4206528,1/4/20,7293.42
4206529,1/4/20,7292.18
4206530,1/4/20,7286.21
4206531,1/4/20,7289.59
4206532,1/4/20,7293.67
4206533,1/4/20,7297.48
4206534,1/4/20,7299.61
4206535,1/4/20,7300.55
4206536,1/4/20,7300.92
4206537,1/4/20,7300.05
4206538,1/4/20,7299.64
4206539,1/4/20,7293.34
4206540,1/4/20,7284.27
4206541,1/4/20,7289.33
4206542,1/4/20,7301.52
4206543,1/4/20,7297.14
4206544,1/4/20,7302.24
4206545,1/4/20,7289.02
4206546,1/4/20,7294.16
4206547,1/4/20,7301.11
4206548,1/4/20,7302.93
4206549,1/4/20,7300.77
4206550,1/4/20,7296.89
4206551,1/4/20,7300.02
4206552,1/4/20,7301.9
4206553,1/4/20,7307.74
4206555,1/4/20,7306.91
4206556,1/4/20,7300.75
4206557,1/4/20,7299.58
4206558,1/4/20,7296.25
4206559,1/4/20,7302.34
4206560,1/4/20,7303.13
4206561,1/4/20,7298.58
4206562,1/4/20,7297.62
4206563,1/4/20,7297.5
4206564,1/4/20,7304.62
4206565,1/4/20,7304.64
4206566,1/4/20,7293.61
4206567,1/4/20,7288.6
4206568,1/4/20,7295.17
4206569,1/4/20,7295.12
4206570,1/4/20,7288.99
4206571,1/4/20,7295.31
4206572,1/4/20,7299.57
4206573,1/4/20,7284.92
4206574,1/4/20,7291
4206575,1/4/20,7275.61
4206577,1/4/20,7275.73
4206578,1/4/20,7288.02
4206580,1/4/20,7283.08
4206581,1/4/20,7283.69
4206582,1/4/20,7285.58
4206583,1/4/20,7293.76
4206584,1/4/20,7291.26
